"Cost per minute in INR on the WhatsApp Business Platform, effective August 1, 2025",,,,,
,,,,,
,,Business-initiated call minutes (per month),,What we charge,
"Market
 (per rate card)",Currency,From,To,Rate type,Rate
,₹,"250,001","1,000,000",Tier rate,0.7404
,₹,"1,000,001","2,500,000",Tier rate,0.6231
,₹,"2,500,001","5,000,000",Tier rate,0.5058
,₹,"5,000,001",--,Tier rate,0.4471
Turkey,₹,,"50,000",List rate,0.7916
,₹,"50,001","250,000",Tier rate,0.6377
,₹,"250,001","1,000,000",Tier rate,0.5644
,₹,"1,000,001","2,500,000",Tier rate,0.4764
,₹,"2,500,001","5,000,000",Tier rate,0.3518
,₹,"5,000,001",--,Tier rate,0.3078
United Arab Emirates,₹,,"50,000",List rate,0.9309
,₹,"50,001","250,000",Tier rate,0.7843
,₹,"250,001","1,000,000",Tier rate,0.6597
,₹,"1,000,001","2,500,000",Tier rate,0.4984
,₹,"2,500,001","5,000,000",Tier rate,0.4031
,₹,"5,000,001",--,Tier rate,0.3665
United Kingdom,₹,,"50,000",List rate,0.7257
,₹,"50,001","250,000",Tier rate,0.6304
,₹,"250,001","1,000,000",Tier rate,0.5498
,₹,"1,000,001","2,500,000",Tier rate,0.4178
,₹,"2,500,001","5,000,000",Tier rate,0.3079
,₹,"5,000,001",--,Tier rate,0.2639
North America,₹,,"50,000",List rate,0.8869
,₹,"50,001","250,000",Tier rate,0.7403
,₹,"250,001","1,000,000",Tier rate,0.6597
,₹,"1,000,001","2,500,000",Tier rate,0.4764
,₹,"2,500,001","5,000,000",Tier rate,0.3152
,₹,"5,000,001",--,Tier rate,0.3079
Rest of Africa,₹,,"50,000",List rate,0.755
,₹,"50,001","250,000",Tier rate,0.6157
,₹,"250,001","1,000,000",Tier rate,0.5424
,₹,"1,000,001","2,500,000",Tier rate,0.4545
,₹,"2,500,001","5,000,000",Tier rate,0.3445
,₹,"5,000,001",--,Tier rate,0.3079
Rest of Asia Pacific,₹,,"50,000",List rate,0.8356
,₹,"50,001","250,000",Tier rate,0.689
,₹,"250,001","1,000,000",Tier rate,0.5937
,₹,"1,000,001","2,500,000",Tier rate,0.5058
,₹,"2,500,001","5,000,000",Tier rate,0.3812
,₹,"5,000,001",--,Tier rate,0.3225
Rest of Central & Eastern Europe,₹,,"50,000",List rate,0.6964
,₹,"50,001","250,000",Tier rate,0.5571
,₹,"250,001","1,000,000",Tier rate,0.4838
,₹,"1,000,001","2,500,000",Tier rate,0.4252
